Year,Nivel,Género,GeoCode,Value
2018,Sin estudios,,860654.0,177
2018,Sin estudios,,860655.0,498
2018,Sin estudios,,860656.0,671
2018,Sin estudios,,860657.0,17
2018,Sin estudios,,860658.0,598
2018,Sin estudios,,860659.0,365
2018,Sin estudios,,860660.0,307
2018,Sin estudios,,860661.0,345
2018,Sin estudios,,860662.0,87
2018,Sin estudios,,860663.0,113
2018,Sin estudios,,860664.0,101
2018,Sin estudios,,860665.0,382
2018,Sin estudios,,860666.0,346
2018,Sin estudios,,860667.0,625
2018,Sin estudios,,860668.0,235
2018,Sin estudios,,860669.0,159
2018,Sin estudios,,860670.0,157
2018,Sin estudios,,860671.0,512
2018,Sin estudios,,860672.0,274
2018,Sin estudios,,860673.0,305
2018,Sin estudios,,860674.0,174
2018,Sin estudios,,860675.0,215
2018,Sin estudios,,860676.0,821
2018,Sin estudios,,860677.0,633
2018,Sin estudios,,860678.0,343
2018,Sin estudios,,860679.0,1105
2018,Sin estudios,,860680.0,1028
2018,Sin estudios,,860681.0,765
2018,Sin estudios,,860682.0,347
2018,Sin estudios,,860683.0,409
2018,Sin estudios,,860684.0,352
2018,Sin estudios,,860685.0,193
2018,Sin estudios,,860686.0,374
2018,Sin estudios,,860687.0,161
2018,Sin estudios,,860688.0,154
2018,Sin estudios,,860689.0,31
2018,Sin estudios,,860690.0,1461
2018,Sin estudios,,860691.0,2007
2018,Sin estudios,,860692.0,478
2018,Sin estudios,,860693.0,1540
2018,Sin estudios,,860694.0,321
2018,Sin estudios,,860695.0,252
2018,Sin estudios,,860696.0,284
2018,Sin estudios,,860697.0,329
2018,Sin estudios,,860698.0,186
2018,Sin estudios,,860699.0,984
2018,Sin estudios,,860700.0,43
2018,Sin estudios,,860701.0,23
2018,Sin estudios,,860702.0,321
2018,Sin estudios,,860703.0,904
2018,Sin estudios,,860704.0,1875
2018,Sin estudios,,860705.0,1834
2018,Sin estudios,,860706.0,3062
2018,Sin estudios,,860707.0,755
2018,Sin estudios,,860708.0,88
2018,Sin estudios,,860709.0,2891
2018,Sin estudios,,860710.0,899
2018,Sin estudios,,860711.0,1340
2018,Sin estudios,,860712.0,2180
2018,Sin estudios,,860713.0,2133
2018,Sin estudios,,860714.0,2040
2018,Sin estudios,,860715.0,1610
2018,Sin estudios,,860716.0,1368
2018,Sin estudios,,860717.0,1821
2018,Sin estudios,,860718.0,1144
2018,Sin estudios,,860719.0,1234
2018,Sin estudios,,860720.0,1072
2018,Sin estudios,,860721.0,1001
2018,Sin estudios,,860722.0,789
2018,Sin estudios,,860723.0,957
2018,Sin estudios,,860724.0,3671
2018,Sin estudios,,860725.0,2394
2018,Sin estudios,,860726.0,2128
2018,Sin estudios,,860727.0,3610
2018,Sin estudios,,860728.0,2416
2018,Sin estudios,,860729.0,2877
2018,Sin estudios,,860730.0,592
2018,Sin estudios,,860731.0,135
2018,Sin estudios,,860732.0,880
2018,Sin estudios,,860733.0,819
2018,Sin estudios,,860734.0,943
2018,Sin estudios,,860735.0,823
2018,Sin estudios,,860736.0,1996
2018,Sin estudios,,860737.0,2712
2018,Sin estudios,,860738.0,801
2018,Sin estudios,,860739.0,477
2018,Sin estudios,,860740.0,601
2018,Sin estudios,,860741.0,151
2018,Sin estudios,,860742.0,96
2018,Sin estudios,,860743.0,10
2018,Sin estudios,,860744.0,254
2018,Sin estudios,,860745.0,31
2018,Sin estudios,,860746.0,123
2018,Sin estudios,,860747.0,1532
2018,Sin estudios,,860748.0,2387
2018,Sin estudios,,860749.0,597
2018,Sin estudios,,860750.0,467
2018,Sin estudios,,860751.0,3470
2018,Sin estudios,,860752.0,1191
2018,Sin estudios,,860753.0,630
2018,Sin estudios,,860754.0,2209
2018,Sin estudios,,860755.0,1886
2018,Sin estudios,,860756.0,3036
2018,Sin estudios,,860757.0,1003
2018,Sin estudios,,860758.0,606
2018,Sin estudios,,860759.0,2811
2018,Sin estudios,,860760.0,495
2018,Sin estudios,,860761.0,160
2018,Sin estudios,,860762.0,7
2018,Sin estudios,,860763.0,1183
2018,Sin estudios,,860764.0,721
2018,Sin estudios,,860765.0,585
2018,Sin estudios,,860766.0,1531
2018,Sin estudios,,860767.0,558
2018,Sin estudios,,860768.0,325
2018,Sin estudios,,860769.0,1404
2018,Sin estudios,,860770.0,198
2018,Sin estudios,,860771.0,184
2018,Sin estudios,,860772.0,108
2018,Sin estudios,,860773.0,403
2018,Sin estudios,,860774.0,296
2018,Sin estudios,,860775.0,101
2018,Enseñanza primaria incompleta,,860645.0,1500
2018,Enseñanza primaria incompleta,,860646.0,4080
2018,Enseñanza primaria incompleta,,860647.0,630
2018,Enseñanza primaria incompleta,,860648.0,833
2018,Enseñanza primaria incompleta,,860649.0,1999
2018,Enseñanza primaria incompleta,,860650.0,449
2018,Enseñanza primaria incompleta,,860651.0,1606
2018,Enseñanza primaria incompleta,,860652.0,2582
2018,Enseñanza primaria incompleta,,860653.0,1887
2018,Enseñanza primaria incompleta,,860654.0,653
2018,Enseñanza primaria incompleta,,860655.0,1767
2018,Enseñanza primaria incompleta,,860656.0,2096
2018,Enseñanza primaria incompleta,,860657.0,62
2018,Enseñanza primaria incompleta,,860658.0,2144
2018,Enseñanza primaria incompleta,,860659.0,1166
2018,Enseñanza primaria incompleta,,860660.0,1043
2018,Enseñanza primaria incompleta,,860661.0,1163
2018,Enseñanza primaria incompleta,,860662.0,272
2018,Enseñanza primaria incompleta,,860663.0,480
2018,Enseñanza primaria incompleta,,860664.0,418
2018,Enseñanza primaria incompleta,,860665.0,1250
2018,Enseñanza primaria incompleta,,860666.0,1299
2018,Enseñanza primaria incompleta,,860667.0,2004
2018,Enseñanza primaria incompleta,,860668.0,873
2018,Enseñanza primaria incompleta,,860669.0,547
2018,Enseñanza primaria incompleta,,860670.0,459
2018,Enseñanza primaria incompleta,,860671.0,1854
2018,Enseñanza primaria incompleta,,860672.0,981
2018,Enseñanza primaria incompleta,,860673.0,1080
2018,Enseñanza primaria incompleta,,860674.0,590
2018,Enseñanza primaria incompleta,,860675.0,680
2018,Enseñanza primaria incompleta,,860676.0,2719
2018,Enseñanza primaria incompleta,,860677.0,1999
2018,Enseñanza primaria incompleta,,860678.0,1197
2018,Enseñanza primaria incompleta,,860679.0,2851
2018,Enseñanza primaria incompleta,,860680.0,2761
2018,Enseñanza primaria incompleta,,860681.0,2503
2018,Enseñanza primaria incompleta,,860682.0,1163
2018,Enseñanza primaria incompleta,,860683.0,1380
2018,Enseñanza primaria incompleta,,860684.0,1303
2018,Enseñanza primaria incompleta,,860685.0,733
2018,Enseñanza primaria incompleta,,860686.0,1292
2018,Enseñanza primaria incompleta,,860687.0,725
2018,Enseñanza primaria incompleta,,860688.0,421
2018,Enseñanza primaria incompleta,,860689.0,93
2018,Enseñanza primaria incompleta,,860690.0,3780
2018,Enseñanza primaria incompleta,,860691.0,5538
2018,Enseñanza primaria incompleta,,860692.0,1949
2018,Enseñanza primaria incompleta,,860693.0,3664
2018,Enseñanza primaria incompleta,,860694.0,854
2018,Enseñanza primaria incompleta,,860695.0,509
2018,Enseñanza primaria incompleta,,860696.0,968
2018,Enseñanza primaria incompleta,,860697.0,1122
2018,Enseñanza primaria incompleta,,860698.0,631
2018,Enseñanza primaria incompleta,,860699.0,3108
2018,Enseñanza primaria incompleta,,860700.0,182
2018,Enseñanza primaria incompleta,,860701.0,92
2018,Enseñanza primaria incompleta,,860702.0,957
2018,Enseñanza primaria incompleta,,860703.0,2124
2018,Enseñanza primaria incompleta,,860704.0,5154
2018,Enseñanza primaria incompleta,,860705.0,4565
2018,Enseñanza primaria incompleta,,860706.0,9625
2018,Enseñanza primaria incompleta,,860707.0,2396
2018,Enseñanza primaria incompleta,,860708.0,279
2018,Enseñanza primaria incompleta,,860709.0,7727
2018,Enseñanza primaria incompleta,,860710.0,2838
2018,Enseñanza primaria incompleta,,860711.0,4131
2018,Enseñanza primaria incompleta,,860712.0,5386
2018,Enseñanza primaria incompleta,,860713.0,6408
2018,Enseñanza primaria incompleta,,860714.0,4698
2018,Enseñanza primaria incompleta,,860715.0,4254
2018,Enseñanza primaria incompleta,,860716.0,3914
2018,Enseñanza primaria incompleta,,860717.0,3196
2018,Enseñanza primaria incompleta,,860718.0,1919
2018,Enseñanza primaria incompleta,,860719.0,2990
2018,Enseñanza primaria incompleta,,860720.0,3099
2018,Enseñanza primaria incompleta,,860721.0,3693
2018,Enseñanza primaria incompleta,,860722.0,2058
2018,Enseñanza primaria incompleta,,860723.0,3024
2018,Enseñanza primaria incompleta,,860724.0,5737
2018,Enseñanza primaria incompleta,,860725.0,5615
2018,Enseñanza primaria incompleta,,860726.0,4929
2018,Enseñanza primaria incompleta,,860727.0,5879
2018,Enseñanza primaria incompleta,,860728.0,4872
2018,Enseñanza primaria incompleta,,860729.0,6970
2018,Enseñanza primaria incompleta,,860730.0,989
2018,Enseñanza primaria incompleta,,860731.0,340
2018,Enseñanza primaria incompleta,,860732.0,2636
2018,Enseñanza primaria incompleta,,860733.0,2072
2018,Enseñanza primaria incompleta,,860734.0,2378
2018,Enseñanza primaria incompleta,,860735.0,2299
2018,Enseñanza primaria incompleta,,860736.0,6034
2018,Enseñanza primaria incompleta,,860737.0,7624
2018,Enseñanza primaria incompleta,,860738.0,2545
2018,Enseñanza primaria incompleta,,860739.0,1762
2018,Enseñanza primaria incompleta,,860740.0,1597
2018,Enseñanza primaria incompleta,,860741.0,529
2018,Enseñanza primaria incompleta,,860742.0,248
2018,Enseñanza primaria incompleta,,860743.0,34
2018,Enseñanza primaria incompleta,,860744.0,618
2018,Enseñanza primaria incompleta,,860745.0,138
2018,Enseñanza primaria incompleta,,860746.0,325
2018,Enseñanza primaria incompleta,,860747.0,4593
2018,Enseñanza primaria incompleta,,860748.0,6374
2018,Enseñanza primaria incompleta,,860749.0,1272
2018,Enseñanza primaria incompleta,,860750.0,1177
2018,Enseñanza primaria incompleta,,860751.0,6233
2018,Enseñanza primaria incompleta,,860752.0,2338
2018,Enseñanza primaria incompleta,,860753.0,1357
2018,Enseñanza primaria incompleta,,860754.0,4664
2018,Enseñanza primaria incompleta,,860755.0,4919
2018,Enseñanza primaria incompleta,,860756.0,5513
2018,Enseñanza primaria incompleta,,860757.0,2281
2018,Enseñanza primaria incompleta,,860758.0,1715
2018,Enseñanza primaria incompleta,,860759.0,5466
2018,Enseñanza primaria incompleta,,860760.0,1145
2018,Enseñanza primaria incompleta,,860761.0,552
2018,Enseñanza primaria incompleta,,860762.0,52
2018,Enseñanza primaria incompleta,,860763.0,2985
2018,Enseñanza primaria incompleta,,860764.0,1542
2018,Enseñanza primaria incompleta,,860765.0,1379
2018,Enseñanza primaria incompleta,,860766.0,3096
2018,Enseñanza primaria incompleta,,860767.0,2106
2018,Enseñanza primaria incompleta,,860768.0,826
2018,Enseñanza primaria incompleta,,860769.0,3928
2018,Enseñanza primaria incompleta,,860770.0,656
2018,Enseñanza primaria incompleta,,860771.0,765
2018,Enseñanza primaria incompleta,,860772.0,229
2018,Enseñanza primaria incompleta,,860773.0,825
2018,Enseñanza primaria incompleta,,860774.0,614
2018,Enseñanza primaria incompleta,,860775.0,206
2018,"Bachiller elemental, Graduado escolar, ESO",,860645.0,3037
2018,"Bachiller elemental, Graduado escolar, ESO",,860646.0,7367
2018,"Bachiller elemental, Graduado escolar, ESO",,860647.0,1309
2018,"Bachiller elemental, Graduado escolar, ESO",,860648.0,1966
2018,"Bachiller elemental, Graduado escolar, ESO",,860649.0,4242
2018,"Bachiller elemental, Graduado escolar, ESO",,860650.0,1059
2018,"Bachiller elemental, Graduado escolar, ESO",,860651.0,2806
2018,"Bachiller elemental, Graduado escolar, ESO",,860652.0,4474
2018,"Bachiller elemental, Graduado escolar, ESO",,860653.0,3917
2018,"Bachiller elemental, Graduado escolar, ESO",,860654.0,1578
2018,"Bachiller elemental, Graduado escolar, ESO",,860655.0,3870
2018,"Bachiller elemental, Graduado escolar, ESO",,860656.0,4137
2018,"Bachiller elemental, Graduado escolar, ESO",,860657.0,151
2018,"Bachiller elemental, Graduado escolar, ESO",,860658.0,4257
2018,"Bachiller elemental, Graduado escolar, ESO",,860659.0,2247
2018,"Bachiller elemental, Graduado escolar, ESO",,860660.0,2433
2018,"Bachiller elemental, Graduado escolar, ESO",,860661.0,2517
2018,"Bachiller elemental, Graduado escolar, ESO",,860662.0,720
